Rank,Recommendation,P(GO) %,Title,Country,Sector,Procurement,Funding Agency,Budget,Days to Deadline,Model Version,Scored At,Source Portal,Source URL
51,NO GO 🔴,64.0%,"Guinea Natural Resources, Mining and Environmental Management Project",Guinea,N/A,CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441441
52,NO GO 🔴,64.0%,Second Kenya Urban Support Program,Kenya,N/A,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442787
53,NO GO 🔴,64.0%,Angola Digital Acceleration Project,Angola,N/A,CONSULTING,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441396
54,NO GO 🔴,63.1%,RFP - Training and Capacity Building in Disc-Jockey （DJ） and Audio Technology.,Sierra Leone,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45186
55,NO GO 🔴,63.1%,International Firm Level Service provider -Graphic Design & Multimedia Services,Ethiopia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,11,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45127
56,NO GO 🔴,63.1%,Cabinet pour la mise à jour - l’opérationnalisation du registre carbone,Côte d'Ivoire,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45133
57,NO GO 🔴,63.1%,Design and development of financing instrument for women in crisis settings,Nigeria,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45095
58,NO GO 🔴,63.1%,Consultancy firm for Implementation of Insurance Innovation Challenge Hackathon.,Ethiopia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45167
59,NO GO 🔴,62.7%,"Burundi Health Emergency Preparedness, Response, and Resilience Project",Burundi,Health & Life Sciences,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438744
60,NO GO 🔴,62.2%,MSME Competitiveness Project,Republic of Moldova,Business Strategy & Performance,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441678
61,NO GO 🔴,62.2%,"Vessel Monitoring System (VMS) Technologies to Bolster Montenegrin Monitoring, Control and Surveillance (MCS) Assets in Montenegro",Montenegro,"Risk & Compliance, Data, AI & Analytics",CONSULTING,FAO,Unknown,19,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299291
62,NO GO 🔴,62.0%,Somali Integrated Statistics and Economic Planning Capacity Building,Somalia,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438225
63,NO GO 🔴,62.0%,Chad Digital Transformation Project,Chad,N/A,CONSULTING,World Bank,Unknown,17,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441877
64,NO GO 🔴,62.0%,Niger Learning Improvement for Results in Education Project,Niger,N/A,CONSULTING,World Bank,Unknown,15,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442168
65,NO GO 🔴,62.0%,"Project Preparation in relation to Horn of Africa - Groundwater for Resilience Project, Phase II",Djibouti,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442236
66,NO GO 🔴,62.0%,Niger: Smart Villages for rural growth and digital inclusion,Niger,N/A,CONSULTING,World Bank,Unknown,7,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442395
67,NO GO 🔴,62.0%,Somalia Enhancing Public Resource Management Project,Somalia,N/A,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442537
68,NO GO 🔴,62.0%,Somalia Enhancing Public Resource Management Project,Somalia,N/A,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442535
69,NO GO 🔴,62.0%,Digital Cabo Verde Project,Cabo Verde,N/A,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442671
70,NO GO 🔴,61.3%,High performance laptops for the project beneficiaries,Ukraine,Business Strategy & Performance,CONSULTING,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44832
71,NO GO 🔴,61.1%,Long-Term Agreement for Workforce Administration,South Sudan,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45048
72,NO GO 🔴,61.1%,Innovation Challenge - Citizen Engagement & Public Feedback Digital Platform,Lesotho,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,11,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45182
73,NO GO 🔴,61.1%,D'UN CABINET,Chad,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45142
74,NO GO 🔴,61.1%,"Bureau d’étude international pour le renforcement des capacités en gouvernance,",Comoros,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,15,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45202
75,NO GO 🔴,58.9%,Development of Feasibility Study on establishment of Green Jobs Training Centre,Montenegro,Employment & Skills Development,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44703
76,NO GO 🔴,58.2%,Greater Cairo Air Pollution Management and Climate Change Project,Egypt,N/A,CONSULTING,World Bank,Unknown,32,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442473
77,NO GO 🔴,58.1%,Servicio izada y readecuación Interceptor 004 – Río Ozama,Dominican Republic,Cybersecurity & Data Security,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44468
78,NO GO 🔴,56.8%,"Georgia Relief and Recovery for Micro, Small, and Medium Enterprises",Georgia,Financial Services,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439783
79,NO GO 🔴,56.5%,Liberia Consultancy for an International Consultant to Develop Guidelines for Streamlining Meteorological and Hydrological Information Generation in Liberia - Liberia CIS Project,Liberia,Environment & Climate,CONSULTING,African Development Bank (AfDB),"11,431,969 USD",22,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-consultancy-international-consultant-develop-guidelines-streamlining-meteorological-and-hydrological-information-generation-liberia-liberia-cis-project-0
80,NO GO 🔴,55.9%,Recovery of Economic Activity for Liberian Informal Sector Employment Project,Liberia,Employment & Skills Development,NON-CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440160
81,NO GO 🔴,55.4%,"For the provision of services to identify potential MSME clusters and provide end-to-end handholding support for energy-efficient te chnology deployment through an ESCO-based delivery model under the project ""Promoting Market Transformation for Energy Effi",India,"Enterprise IT & Systems Implementation, Business Strategy & Performance",CONSULTING,UNIDO,Unknown,20,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299238
82,NO GO 🔴,55.2%,Irrigation for Climate Resilience Project (ICRP),Uganda,Environment & Climate,CONSULTING,World Bank,"400,000 USD",5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439516
83,NO GO 🔴,55.0%,CABINET ETUDE MISE EN PLACE MECANISMES DE DECAISSEMENT,Madagascar,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,25,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45116
84,NO GO 🔴,52.8%,Appel à collaborateur extérieur - Team leader pour conduire l’évaluation indépendante à mi-parcours du projet de partenariat entre l’OIT et le ministère de l’agriculture et de la souveraineté alimentaire /Programme DEFIS à Madagascar,Madagascar,N/A,CONSULTING,ILO,Unknown,3,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299616
85,NO GO 🔴,52.8%,"Conference Services - Regional Meeting to Review EAC TVET Qualifications Framework Nairobi, Kenya",Kenya,N/A,CONSULTING,ILO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299915
86,NO GO 🔴,52.8%,"Consultant to conduct a Diagnostic Assessment on, Electronic Waste Management for Youth Employment in Central Province, Zambia!",Zambia,N/A,CONSULTING,ILO,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299726
87,NO GO 🔴,52.8%,"Call for External Collaboration for Livelihood Interventions in Niger, Ondo, and Osun States",Nigeria,N/A,CONSULTING,ILO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299795
88,NO GO 🔴,52.8%,"Appel à collaborateur extérieur - Evaluateur national basé à Madagascar, membre d’une équipe de deux évaluateurs pour conduire l’évaluation indépendante à mi-parcours du projet de partenariat entre l’OIT et le Ministère de l’Agriculture et de la Souveraine",Madagascar,N/A,CONSULTING,ILO,Unknown,3,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299617
89,NO GO 🔴,52.8%,Conferencing Facilities - Formalize Your Business Meeting Nairobi,Kenya,N/A,CONSULTING,ILO,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299850
90,NO GO 🔴,52.8%,Conference Services - Market Systems for Displacement Context Training,Kenya,N/A,CONSULTING,ILO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299912
91,NO GO 🔴,51.3%,Zimbabwe Renewable Energy Procurement Technical Assistance Project,Zimbabwe,Energy & Utilities,CONSULTING,World Bank,Unknown,3,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434937
92,NO GO 🔴,51.3%,Saint Paul 2 Hydropower Project Preparation,Liberia,Energy & Utilities,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437413
93,NO GO 🔴,51.3%,Guinea Electricity Access Scale Up Project-Phase 2,Guinea,Energy & Utilities,CONSULTING,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437911
94,NO GO 🔴,51.3%,Zimbabwe Renewable Energy Procurement Technical Assistance Project,Zimbabwe,Energy & Utilities,CONSULTING,World Bank,Unknown,3,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434950
95,NO GO 🔴,50.6%,Recrutement d’une institution de recherche nationale pour la réalisation d’une étude et l’élaboration d'une stratégie sectorielle en matière de compétences pour le secteur de l’énergie (conventionnelle et renouvelable) au Burundi en utilisant la méthodolog,Burundi,N/A,CONSULTING,ILO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/300000
96,NO GO 🔴,50.6%,Appel à collaborateur extérieur – Formation Think.CareCOOP / Start.CareCOOP et accompagnement à la mise en place d’une coopérative de soins à domicile – Projet RISEC / OIT,Comoros,N/A,CONSULTING,ILO,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299615
97,NO GO 🔴,50.6%,Appel à collaborateur extérieur – Expert(e) en économie des soins pour la formation d’un comité de gestion de garderie communautaire et l’appui à la formation Think.CareCOOP / Start.CareCOOP – Projet RISEC / OIT,Comoros,N/A,CONSULTING,ILO,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299619
98,NO GO 🔴,50.6%,Recrutement d’une institution de recherche nationale pour la réalisation d’une étude et l’élaboration d'une stratégie sectorielle en matière de compétences pour le secteur minier au Burundi en utilisant la méthodologie STED du BIT,Burundi,N/A,CONSULTING,ILO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/300001
99,NO GO 🔴,50.1%,Transforming Access and Learning in Madagascar,Madagascar,Education & Training,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441070
100,NO GO 🔴,50.0%,Strengthening Foundations for Improved Justice Service Delivery,Romania,Justice & Rule of Law,CONSULTING,World Bank,"743,666 EUR",2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00436837
101,NO GO 🔴,50.0%,Strengthening Foundations for Improved Justice Service Delivery,Romania,Justice & Rule of Law,CONSULTING,World Bank,"1,723,766 EUR",9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440795
102,NO GO 🔴,49.8%,Kingston Waterfront Improvement Project - SOP 1,Jamaica,N/A,CONSULTING,World Bank,Unknown,15,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434181
103,NO GO 🔴,49.6%,Liberia International Consultants to Develop and Operationalize an Automated Decision Management System for Climate Services - Liberia CIS Project,Liberia,"Environment & Climate, Enterprise IT & Systems Implementation",CONSULTING,African Development Bank (AfDB),"11,431,969 USD",78,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-international-consultants-develop-and-operationalize-automated-decision-management-system-climate-services-liberia-cis-project-0
104,NO GO 🔴,49.5%,Istanbul North Rail Crossing Project,Turkiye,Transport & Logistics,CONSULTING,World Bank,"1,000,000 USD",14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00436517
