title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
Cabinet international_ blockchain de sécurisation & vérification des diplômes,undp,Others,CONSULTING,NLP,False,0.0746
Consultancy Service for the Formulation of Global Fund Funding Request for ATM,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant international/National prise en charge médicale des femmes détenues,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Contract Administration Construction of New Quay Wall- Aden,undp,WORKS,WORKS,Layer 1,False,1.0
IC 12/2026 - Consultor/a en uso sostenible en pesca continental,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultoría (internacional) fortalecimiento sector de generacion de vacunas,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
International Consultant – Feasibility Study and Impact Evaluation Design,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Intl Final Evaluation Consultant - Gutpela Solwara, Gutpela Bisnis Project",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Civil Works- Phase 02 of Cleaning of Naher El Bared Riverbed,undp,WORKS,WORKS,Layer 1,False,1.0
Lead National Determined Contributions (NDC)-CIP Development Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Long-Term Agreement for Supply and Delivery of Distilled/Purified Drinking Water,undp,GOODS,GOODS,Layer 1,False,1.0
Market and System-level Analysis: Baseline Insights from an In-depth Assessment,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Multifunctional space construction in NCEDI_Platform#5 Project,undp,WORKS,WORKS,NLP,False,0.1069
Personal Protective Equipment (PPE) for CCDAC Myanmar,undp,GOODS,GOODS,Layer 1,False,1.0
Provision of Technical Consulting Services for Deir Ali Power Plant – Value For,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recrutement d’un cabinet pour appuyer les plans de gestion de 4 aires pastorales,undp,Others,CONSULTING,Layer 1,False,1.0
for the global branding system for the iCOAST Programme,undp,CONSULTING,CONSULTING,NLP,True,0.0057
RFQ- Supply and Delivery of staff wellbeing and breakroom items(Local Firm Only),undp,GOODS,GOODS,Layer 1,False,1.0
Technical Services for Multi-Sectoral Value Chain Assessments and Design- 7 Lots,undp,Others,CONSULTING,Layer 1,False,1.0
MoHP Capacity Building & Transition Planning under Global Fund,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Identificación portafolio mitigación y análisis escenarios,undp,Others,CONSULTING,NLP,False,0.1233
Servicio de extracción de ARN total y Secuenciación RNA-Seq,undp,Others,CONSULTING,Layer 1,False,1.0
"Insumos ""producción de semillas nativas""-2026",undp,GOODS,GOODS,NLP,False,0.0907
Various Materials for the CE Programme of Puerto Princesa City,undp,GOODS,GOODS,NLP,False,0.0253
ViaDinarica-RfQ-Development of a lookout on Vrbas River in Jajce Municipality,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Construction of Protection Wall projects in Chardara District of Following Kundu,undp,WORKS,WORKS,Layer 1,False,1.0
Construction of Three Canal Lining projects in Baghlan,undp,WORKS,WORKS,Layer 1,False,1.0
IC-Market & Demand Assessment for Micro-Takaful and Bundled Loan Products,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
MSME Digitalization Policy and GEDSI Assessment (IC),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant for Place-to-Place Survey Bangladesh,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
and Upgrading of Addu and Fuvahmulah Nature Parks,undp,WORKS,WORKS,NLP,False,0.0758
LTA for the Provision of Travel Management Services for Un Agencies,undp,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Закупка и поставка оборудования и рефрижераторных контейнеров для КазНИИВХ,undp,Others,GOODS,NLP,False,0.1958
Adaptation of national ISO/EN standards,undp,Others,CONSULTING,NLP,False,0.0387
Acquisition de matériel médico-technique et mobilier médical au profit du Centr,undp,GOODS,GOODS,Layer 1,False,1.0
Acquisition et Installation Systeme photovoltaïque,undp,WORKS,WORKS,Layer 1,False,1.0
Communications and Visibility Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Construction of Mahole Wier, Wanezi River, Insiza District, Matabeleland South",undp,WORKS,WORKS,Layer 1,False,1.0
Consultancy - Review of Drug-Resistant Tuberculosis (DR-TB),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Development and Training on Disaster Risk Finance and Flood Risk Modeling,undp,Others,CONSULTING,NLP,False,0.0569
"Development, deployment and operationalization of an Integrated DCMS",undp,CONSULTING,WORKS,NLP,False,0.041
End-of-Term Review and Development of the National Strategic Plan (NSP) for Tube,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
EOI_Provision of Group Medical Insurance Plans for UNDP affiliated workforce,undp,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
GEA-Gender Equality Seal Expert (Cluster 1),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC - National Consultant for Developing priority Standard Operating Procedures (,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC for Midterm Evaluation of the Applied SME Capability Center,undp,CONSULTING,CONSULTING,NLP,False,0.1181
Review of TB Diagnostics in End-of-Term Review of the National Strategic Plan,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
024 - Monitoring and Evaluation Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"IC-To develop a Review of Advocacy, Community, Rights and Gender (ACRG) End-of-T",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Individual Consultancy for Tuberculosis Epidemiological Review,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Individual National Consultant To Conduct the Feasibility Study and ESIA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply and delivery of Trucks and Vehicles (5 Lots),undp,GOODS,GOODS,Layer 1,False,1.0
Local Consultant - Review of Procurement Financial Management System with CPBN,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Mise en place d'un LTA des consultants nationaux infirmiers en Guinée,undp,CONSULTING,CONSULTING,NLP,False,0.0618
Monitoring & Evaluation (M&E) Expert – Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Monitoring and Evaluation - TB National Strategic Plan (NSP) Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant for Provision of Just Energy Transition Trainings,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Procurement of UniPod Furniture, Appliances, and Aesthetics",undp,GOODS,GOODS,Layer 1,False,1.0
Programme and Research Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recruitment of an Individual Consultant to develop communication strategy,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recrutement d'un Consultant national pour l’élaboration du RNDH 2026,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RFQ- Procurement of a 4x4 Pick-up Vehicle and Portable W,undp,GOODS,GOODS,Layer 1,False,1.0
RFQ- Vehicle,undp,GOODS,GOODS,NLP,False,0.0216
"Servicio de Arriendo mensual de notebooks, con opción de compra",undp,GOODS,NON-CONSULTING,NLP,False,0.0453
Consultoría para el diseño de la Plataforma Digital,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
167209/26 Acuerdo a largo plazo para el servicio de Limpieza UNHouse,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Procurement of furniture for Mykolaiv oblast,undp,GOODS,GOODS,Layer 1,False,1.0
Análisis de brechas de financiamiento y estructuración de incentivos para e-buse,undp,Others,CONSULTING,NLP,False,0.0407
Consultancy Firm for The Provision of Security Services to the United Nations Es,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultancy Firm to Complete and Finalize the Landscape Investment Resilience Pl,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultancy Services to support Dominica's NDC 3.0 activities,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant·e national·e pour la revue et l’actualisation des protocoles thérapeu,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Desinstalación, traslado e instalación del taller completo de gastronomía INADEH",undp,Others,GOODS,NLP,False,0.0808
Finalization and Operationalization of the Malawi Electronic Trade Licensing,undp,CONSULTING,GOODS,NLP,False,0.0583
IC- National consultant to conduct midterm monitoring of the National Youth Str,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
05 - Legal Consultant for the CANOPI Fund Sri Lanka,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC-National AfCFTA Readiness Consultant for UNDP Guinea CO,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IMPRESSION POUR LE GUIDE NATIONALE DE SUIVI ET D'EVALUATION,undp,CONSULTING,CONSULTING,NLP,False,0.041
26 Social Media Monitoring System and Analytical Dashboard,undp,Others,CONSULTING,NLP,False,0.038
Irrigation Canals and Hill Lake Using Labour-Intensive Approach,undp,WORKS,WORKS,NLP,False,0.199
Legal Consultant Drafting of Consumer Credit Bill,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
LTA Servicios de fibra óptica y telefonia IP,undp,Others,NON-CONSULTING,NLP,True,0.0087
NationalConsultant for the Terminal Evaluation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Provision and Installation of Synoptic Automated Weather Stations,undp,WORKS,WORKS,NLP,False,0.0714
Recruitment of a Communications/Public Relations Firm for Photography and Vide,undp,Others,CONSULTING,NLP,True,0.0118
"Recrutement d'un(e) consultant(e) international(e) dans les ""PPP"" NAP",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recrutement d'un(e) Consultant(e) national(e) en renforcement des capacités NAP,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"RFP: Smart Communities: Digital Skills, Citizen Science for Green Transition",undp,CONSULTING,WORKS,NLP,False,0.0072
Urban Social Protection Programme for Safai Mitras in Mumbai,undp,CONSULTING,WORKS,NLP,False,0.0122
03239_NDA_Company to update the LEDP Programme of the Republic of Moldova,undp,CONSULTING,CONSULTING,NLP,False,0.0421
CBM/Restoration works of Menorah and Aron Kodesh in Rascov Synagogue,undp,GOODS,WORKS,NLP,False,0.0309
and Biodiversity Expert,undp,CONSULTING,CONSULTING,NLP,False,0.0994
Al-Saqar Police Station-East of Mosul-Ninawa Go,undp,WORKS,WORKS,NLP,False,0.06
Supply of High Voltage Bushing – 6 LOTs,undp,GOODS,GOODS,Layer 1,False,1.0
B.10.5.2 Accommodation for the Venice Winter School event (Oct 2026),undp,Others,NON-CONSULTING,Layer 1,False,1.0
Cabinet national pour la formation des fabricants locaux et des communautés sur,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Construction of Marketplace and Local Products Sales Place in Pınarbaşı,undp,WORKS,WORKS,Layer 1,False,1.0
Consultancy Firm for The Provision of Cleaning Services to the United Nations Es,undp,CONSULTING,CONSULTING,NLP,True,0.0311
Consultancy for Scientifically robust & efficient Early Warning System,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultoría sobre Competitividad Multisectorial y Reglamento de Contenido Local,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Development of content for training modules,undp,CONSULTING,CONSULTING,NLP,False,0.038
Elaboración del Informe Nacional sobre Competitividad Multisectorial,undp,Others,CONSULTING,Layer 1,False,1.0
Especialista en Investigación de Campo y Acceso a la Financiación de MIPYMES,undp,Others,CONSULTING,NLP,False,0.0997
"GED-RFQ-Supply, delivery and installation of chiller for MRI cooling in FHS SA",undp,WORKS,WORKS,Layer 1,False,1.0
GPSDH GPH338901 Invitation for Prequalification LENACAPAVIR,undp,Others,GOODS,Layer 1,False,1.0
LEGAL EXPERT TO ASSES THE BARRIERS IN THE ENERGY SECTOR,undp,CONSULTING,CONSULTING,NLP,False,0.0785
Integrated Waste Processing and Plastic Recycling Systems,undp,Others,WORKS,NLP,False,0.0199
National Consultant - Financial Advisory Support Services,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant to perform Terminal Evaluation for GEF-financed project,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Pilot Study on Raast P2M Usage,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Procurement of National Project Consultant for TIAEWS and RIDS Projects,undp,CONSULTING,CONSULTING,NLP,False,0.0879
Recrutement d'un(e) consultant(e) national(e) pour soutenir l'adaptation NAP,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RfP for the Development of the National State of Marine Plastic Report,undp,CONSULTING,GOODS,NLP,False,0.041
RFQ_Improvement of functionality of the indoor sport facilities in 4 education f,undp,GOODS,WORKS,Layer 1,False,1.0
RFQ-Supervision of works for the Construction of the Kindergarten “Pčelica”,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Supply and Delivery of 3D Printer and Scanner in Puerto Princesa, Palawan",undp,GOODS,GOODS,Layer 1,False,1.0
"Supply, Delivery, and Commissioning of Plastic Shredder and Desiccant Dryer",undp,GOODS,GOODS,Layer 1,False,1.0
UNFPA - SERVIÇOS DE COMUNICAÇÃO INTEGRADA - MODALIDADE ACORDO DE LONGO PRAZO,undp,Others,NON-CONSULTING,NLP,False,0.0438
Various Waste Management and Circular Economy equipment,undp,NON-CONSULTING,WORKS,NLP,False,0.0227
Acquisition de gadgets au profit du Bureau PNUD BFA,undp,GOODS,GOODS,Layer 1,False,1.0
Acquisition of Refrigerant Analyser and accessories,undp,Others,GOODS,NLP,False,0.1175
Actualización e Implementación Estrategia Comunicaciones Proyecto,undp,Others,CONSULTING,NLP,False,0.0541
Adecuación pedagógica de 3 rutas de atención articulada en Huancavelica,undp,Others,CONSULTING,NLP,False,0.0463
"C.6.2 INTERPRETATION FOR WEBINARS, UNDP SDG LOCAL ACTION PROJECT, YEAR 2026",undp,CONSULTING,CONSULTING,NLP,True,0.0122
Cabinet pour la formation des bénéficiaires de cinq périmètres maraîchers,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Communication expert to develop and operationalize a communication strategy and,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Conservation works at 2 Sites; Panagia Chryseleousa and Panagia Mnasi,undp,Others,WORKS,Layer 1,False,1.0
Consultant to support the Directorate for Northern Region Development,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Crisis Response Analyst,undp,Others,CONSULTING,NLP,False,0.1373
GCF Readiness-RFP-Development of FII Strategy for NDC 3.0 in BiH,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Mechanical Engineering Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
023-National Consultant for Outcome Evaluation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Improvement projects along Umm Qais tourist street leading to the Archaeological,undp,Others,WORKS,NLP,False,0.1245
International Consultant to perform Terminal Evaluation for GEF-financed project,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
ITB_001_2026_Construction of Evacuation Shelter in Khammouane Salavan&Champasack,undp,WORKS,WORKS,Layer 1,False,1.0
Consultoria elaboración de catografia y analisis de bases de datos,undp,Others,CONSULTING,Layer 1,False,1.0
Recruitment of Environmental Policy Expert Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Vulnerability Assessments and Adaptation APs for 5 sectors,undp,CONSULTING,CONSULTING,NLP,False,0.0576
"RFP for ""Results Architecture and Integrated Performance M&L System""",undp,CONSULTING,CONSULTING,NLP,False,0.0542
"Bureau d’études pour élaborer l’étude de faisabilité technique, éco",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Sectoral Adaptation Entry Points Assessment and Action Plans,undp,GOODS,CONSULTING,NLP,False,0.1324
RFQ_Acquisition et installation équipements de surveillance et suivi ecologique,undp,WORKS,WORKS,Layer 1,False,1.0
Gender-Sensitive Methodology and Action Plan,undp,GOODS,CONSULTING,NLP,False,0.0511
Supply of Construction Materials and Machinery rental service,undp,WORKS,GOODS,Layer 1,False,1.0
EP - Senior Strategic Communications Coordinator,undp,CONSULTING,CONSULTING,NLP,False,0.0992
support in conduction of simulation exercises,undp,Others,CONSULTING,NLP,True,0.0288
Adquisición de Insumos Operativos (sillas y mesas multiusos),undp,GOODS,GOODS,Layer 1,False,1.0
Elaboración Linea Base Proyecto Innovación financiera,undp,Others,CONSULTING,NLP,False,0.1201
Website Development,undp,CONSULTING,CONSULTING,NLP,False,0.0752
Acquisition de petits matériels dans le cadre du projet IBSA,undp,GOODS,GOODS,Layer 1,False,1.0
CONSULTANT (E) INTERNATIONAL (E) DDR,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant pour l’analyse des effets de la ZLECAF sur les recettes tarifaires,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant pour l'identification d'opportunités d’accès aux marches de la ZLECAF,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant to support Directorate for Inspection Supervision (2 positions),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant to support the Working group on Chapter 27 chaired by State Secretary,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant(e) national(e) pour le suivi-contrôle des travaux de Rehabilitation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consulting firm for a project on “Geographic Mapping of Traditional Healers GNB,undp,CONSULTING,CONSULTING,NLP,False,0.0693
"EUFRP-RFQ-Reconstruction of a road in the settlement Drin, Fojnica",undp,WORKS,WORKS,Layer 1,False,1.0
Formulación del estudio de Preinversión en Cajamarca para Cafe,undp,Others,NON-CONSULTING,NLP,True,0.0091
NCD Procurement of medicines for Kyrgyzstan,undp,GOODS,GOODS,Layer 1,False,1.0
IC 00791-2026 SDG Audit Capacities and Corruption Prevention Expert,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Expert for Corporate Income Tax Law,undp,CONSULTING,CONSULTING,NLP,False,0.0867
Expert for Personal Income Tax Law,undp,CONSULTING,CONSULTING,NLP,False,0.0825
Expert for Tax Procedure and Tax Administration Law,undp,CONSULTING,CONSULTING,NLP,False,0.0946
Institutional Support Project to Strengthen Economic Governance in South Sudan,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
International Consultant on Developing a Risk Based Approach Joint Inspection Me,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Local Expert for the development of the functional requirements document/Terms o,undp,CONSULTING,CONSULTING,NLP,False,0.1485
MISE A DISPOSITION DE SALLE & SERVICES HOTELIERS - ATELIER CONSOLIDATION PSTO,undp,Others,NON-CONSULTING,NLP,False,0.1
National Communications Consultancy,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Procurement of Various ICT Equipment: Laptop, Tablets, Camera and accessories",undp,GOODS,GOODS,Layer 1,False,1.0
Provision providing construction and rehabilitation services for strategic boreh,undp,WORKS,WORKS,Layer 1,False,1.0
Rehabilitación de 10 Minirredes Solares y Construcción de 10 Casetas de control,undp,WORKS,WORKS,Layer 1,False,1.0
Rehabilitation for Al-Bureij Dumping Site,undp,WORKS,WORKS,NLP,False,0.0551
RfP for the delivery of 01 training program on digital literacy for youth,undp,CONSULTING,CONSULTING,NLP,False,0.0614
RFQ - Construction of a Concrete Slab,undp,WORKS,WORKS,Layer 1,False,1.0
"Supply of equipment (Servers, Network and Firewalls) to CEC RA",undp,GOODS,GOODS,Layer 1,False,1.0
Adquisición de un (1) servidor tipo Rack de 2U Máximo SDC 3599/26,undp,GOODS,GOODS,Layer 1,False,1.0
Sourcing in the Recycling Value Chain,undp,Others,CONSULTING,Layer 1,False,1.0
Implementation of greening measures on the River Vardar Quay,undp,Others,WORKS,NLP,False,0.1169
Producción de seis Paquetes Tecnológicos,undp,Others,CONSULTING,Layer 1,False,1.0
Urban Social Protection Programme for Safai Mitras in Delhi-NCR,undp,CONSULTING,WORKS,NLP,False,0.0282
Equipos y Herramientas Taller de Metalmecánica ITSE,undp,GOODS,GOODS,Layer 1,False,1.0
Equipos y Herramientas Taller de Mantenimiento Industrial ITSE,undp,NON-CONSULTING,GOODS,Layer 1,False,1.0
Equipos y Herramientas Taller de Electricidad Industrial ITSE,undp,GOODS,GOODS,Layer 1,False,1.0
Equipos y Herramientas del Almacén del ITSE,undp,GOODS,GOODS,Layer 1,False,1.0
Accord à Long terme (LTA) - Hôtel et salle de conférence combinés - UN,undp,Others,NON-CONSULTING,NLP,False,0.0518
International Consultant – Civil Engineer,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
SOLICITUD DE PROPUESTA,undp,Others,CONSULTING,NLP,True,0.0015
"Construction of a water supply, Rehabilitation and Reconstruction in the SW",undp,WORKS,WORKS,Layer 1,False,1.0
LTA (Long-Term Agreement) for procurement of stationaries for UNDP and other UN,undp,GOODS,GOODS,Layer 1,False,1.0
Purchase of specialized vehicles/Закупка спецтранспорта для Казгидрогеологии,undp,GOODS,GOODS,Layer 1,False,1.0
Delivery of a facility for studying groundwater regimes,undp,GOODS,GOODS,Layer 1,False,1.0
167431/26 Implementación de PAE Bolivia - Perú,undp,Others,CONSULTING,NLP,True,0.0285
Appel à propositions de projet (ONG) Programme de Microfinancements du FEM,undp,CONSULTING,CONSULTING,NLP,False,0.1049
Business Plan Development Support to Farmer Organisations and MSEs,undp,CONSULTING,CONSULTING,NLP,False,0.0706
Complete 7th National Report on Biodiversity (Antigua and Barbuda),undp,Others,CONSULTING,NLP,False,0.0369
Conduct research on prevalence of digital sex crimes,undp,CONSULTING,CONSULTING,NLP,True,0.0213
Consultancy to Conduct Climate Risk Analysis and Vulnerability Assessment (CRAVA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant to support Directorate for Climate Change and Sustainable Development,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant to support the Directorate for International Cooperation and EU funds,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultant to support the Directorate for Nature Protection (6 positions),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Elaboración de Hoja de Ruta para el Sector Cementero de Costa Rica,undp,Others,CONSULTING,Layer 1,False,1.0
of schools in remote rural areas of Uzbekistan,undp,CONSULTING,WORKS,NLP,False,0.0407
GEA-Consultant for Evaluation of Cantonal Development Strategies Cluster 1,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
GEA-Consultant for Evaluation of Cantonal Development Strategies Cluster 2,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Hiring a International Consultant to provide training for women's leadership,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Hiring a National Consultant to provide training for women's leadership,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
