id,tender_id,source_portal,title_clean,country_name_normalized,sector,procurement_group,budget,currency,days_to_deadline,status_normalized,lifecycle_stage,notice_type_normalized,procurement_method_name,organisation_name,funding_agency,enrichment_status,go_no_go,score_breakdown
12089,1,worldbank,Mozambique Safer Roads for Socio-Economic Integration Program,Mozambique,"[""Social Protection & Poverty Reduction""]",WORKS,500000.0,USD,49,open,procurement,Invitation for Bids,Request for Bids,National Road Authority,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=medium(460,000€)(2.0) | country=Mozambique(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=49d(normal=1.0) | TOTAL=0.0 → NO GO (disqualified)"
12105,17,worldbank,SADC Regional Statistics Project,Eastern And Southern Africa,"[""Data, AI & Analytics""]",GOODS,,,29,open,procurement,Invitation for Bids,Request for Bids,National Institute of Statistics of Madagascar,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Data, AI & Analytics(2.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=29d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)"
12106,18,worldbank,Primary Health Care Quality Improvement Program,Kyrgyz Republic,"[""Health & Life Sciences""]",CONSULTING,,,3,open,procurement,Expression of Interest,Individual Consultant Selection,Ministry of Health of KR,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12107,19,worldbank,Khyber Pakhtunkhwa Integrated Tourism Development Project,Pakistan,"[""Marketing & Customer Experience""]",WORKS,,,11,open,procurement,Invitation for Bids,Request for Quotations,Project Management Unit PMU KITE DoT,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Marketing & Customer Experience(2.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=11d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12108,20,worldbank,Strengthening Resilience of the Agriculture Sector Project,Tajikistan,"[""Agriculture & Food Security""]",GOODS,,,7,open,procurement,Invitation for Bids,Request for Bids,State Institute “Agriculture Entrepreneurship Development” Project Management Unit (AED PMU),World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Agriculture & Food Security(1.0) | budget=unknown(1.0) | country=Tajikistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12109,21,worldbank,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,"[""Environment & Climate"", ""Health & Life Sciences""]",CONSULTING,,,14,open,procurement,Expression of Interest,Quality and Cost-Based Selection,The Kenya Biovax Institute Limited,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=14.0/13.0 → GO
12110,22,worldbank,Agriculture Sector Recovery in Türkiye's Earthquake-affected Provinces,Turkiye,"[""Agriculture & Food Security""]",CONSULTING,,,10,open,procurement,Expression of Interest,Consultant Qualification  Selection,TRGM,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Agriculture & Food Security(1.0) | budget=unknown(1.0) | country=Turkiye(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=13.0/13.0 → GO
12111,23,worldbank,Smart Government II Project,Mongolia,"[""Government Reform & Public Administration""]",GOODS,6500.0,USD,21,open,procurement,Invitation for Bids,Request for Bids,MINISTRY OF DIGITAL DEVELOPMENT AND COMMUNICATIONS,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Government Reform & Public Administration(3.0) | budget=small(5,980€)(0.5) | country=Mongolia(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=21d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)"
12112,24,worldbank,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,"[""Environment & Climate"", ""Health & Life Sciences""]",CONSULTING,,,14,open,procurement,Expression of Interest,Quality and Cost-Based Selection,The Kenya Biovax Institute Limited,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=14.0/13.0 → GO
12113,25,worldbank,"Mato Grosso Resilient, Inclusive, and Sustainable Learning Project",Brazil,"[""Social Protection & Poverty Reduction"", ""Environment & Climate""]",NON-CONSULTING,,,22,open,procurement,Invitation for Bids,Request for Bids,Secretariat of Education of the Mato Grosso State,World Bank,nlp_complete,0,proc_group=NON-CONSULTING(1.0) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Brazil(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=22d(urgent=2.0) | TOTAL=9.5/13.0 → NO GO
12114,26,worldbank,Madagascar Safety Nets and Resilience Project,Madagascar,"[""Social Protection & Poverty Reduction"", ""Environment & Climate""]",GOODS,,,7,open,procurement,Invitation for Bids,Request for Quotations,Intervention Funds for Development,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Madagascar(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12115,27,worldbank,Saint Paul 2 Hydropower Project Preparation,Liberia,"[""Energy & Utilities""]",CONSULTING,,,7,open,procurement,Expression of Interest,Consultant Qualification  Selection,Liberia Electricity Corporation,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Liberia(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=14.0/13.0 → GO
12116,28,worldbank,Kiribati: Pacific Islands Regional Oceanscape Program,Kiribati,"[""Others""]",GOODS,,,7,open,procurement,Invitation for Bids,Request for Quotations,Ministry of Fisheries and Marine Resource Development,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Others(0.0) | budget=unknown(1.0) | country=Kiribati(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12117,29,worldbank,SADC Regional Statistics Project,Eastern And Southern Africa,"[""Data, AI & Analytics""]",GOODS,,,22,open,procurement,Invitation for Bids,Request for Bids,National Institute of Statistics of Madagascar,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Data, AI & Analytics(2.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=22d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)"
12118,30,worldbank,Angola Strengthening Governance for Enhanced Service Delivery Project,Angola,"[""Government Reform & Public Administration""]",CONSULTING,,,10,open,procurement,Expression of Interest,Individual Consultant Selection,Territorial Administration Ministry,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Government Reform & Public Administration(3.0) | budget=unknown(1.0) | country=Angola(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=16.0/13.0 → GO
12119,31,worldbank,Unleashing the Blue Economy of the Caribbean (UBEC),Caribbean,"[""Others""]",CONSULTING,,,3,open,procurement,Expression of Interest,Individual Consultant Selection,Ministry of Infrastructure Development and Implementation,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Others(0.0) | budget=unknown(1.0) | country=Caribbean(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12120,32,worldbank,Eastern Africa Regional Digital Integration Project,Eastern And Southern Africa,"[""Digital Transformation""]",CONSULTING,,,1,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Intergovernmental Authority on Development,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12121,33,worldbank,"Accelerating Project preparation with CAIXA for electromobility, digital, and sustainable housing de",Brazil,"[""Construction & Infrastructure"", ""Digital Transformation""]",CONSULTING,,,6,open,procurement,Expression of Interest,Least Cost Selection,GECIC,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Brazil(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=6d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12122,34,worldbank,Primary Health Care Quality Improvement Program,Kyrgyz Republic,"[""Health & Life Sciences""]",CONSULTING,,,3,open,procurement,Expression of Interest,Individual Consultant Selection,Ministry of Health of KR,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12123,35,worldbank,Enhancing Resilience in Kyrgyzstan Project,Kyrgyz Republic,"[""Environment & Climate""]",WORKS,,,1,open,procurement,Invitation for Bids,Request for Bids,Ministry of Emergency Situations,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12124,36,worldbank,Regional Policy Dialogue and Knowledge Exchange on Development Responses to Forced Displacement in t,Eastern And Southern Africa,"[""Social Protection & Poverty Reduction"", ""Government Reform & Public Administration""]",CONSULTING,,,8,open,procurement,Expression of Interest,Consultant Qualification  Selection,Intergovernmental Authority on Development,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Government Reform & Public Administration(3.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=8d(very_urgent=3.0) | TOTAL=16.0/13.0 → GO
12125,37,worldbank,Lao PDR Global Partnership for Education III: Learning and Equity Acceleration Project,Lao People'S Democratic Republic,"[""Education & Training""]",CONSULTING,,,10,open,procurement,Expression of Interest,Individual Consultant Selection,Ministry of Education and Sports,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Education & Training(1.0) | budget=unknown(1.0) | country=Lao People'S Democratic Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=12.0/13.0 → NO GO
12126,38,worldbank,"Phase 3 Advancing Sustainability in Performance, Infrastructure, and Reliability of the Energy Secto",Palestinian Territory,"[""Energy & Utilities""]",CONSULTING,,,14,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Palestinian Energy and Natural Resources Authority,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Palestinian Territory(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=13.0/13.0 → GO
12127,39,worldbank,Angola Strengthening Governance for Enhanced Service Delivery Project,Angola,"[""Government Reform & Public Administration""]",GOODS,,,36,open,procurement,Invitation for Bids,Request for Bids,Territorial Administration Ministry,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Government Reform & Public Administration(3.0) | budget=unknown(1.0) | country=Angola(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=36d(normal=1.0) | TOTAL=0.0 → NO GO (disqualified)
12128,40,worldbank,Project Preparation for Pacific Island Countries Teacher Upgrading and Resourcing for the Early Year,Tuvalu,"[""Education & Training""]",CONSULTING,110000000.0,USD,10,open,procurement,Expression of Interest,Individual Consultant Selection,"Ministry of Education, Youth and Sports",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Education & Training(1.0) | budget=large(101,200,000€)(3.0) | country=Tuvalu(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=14.0/13.0 → GO"
12129,41,worldbank,BiH Water and Sanitation Services Modernization Project,Bosnia And Herzegovina,"[""Water, Sanitation & Waste""]",CONSULTING,,,10,open,procurement,Expression of Interest,Consultant Qualification  Selection,"Federal Ministry of Agriculture, Water Management and Forestry",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Bosnia And Herzegovina(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=13.0/13.0 → GO"
12130,42,worldbank,Building Resilient Digital Infrastructure for Growth,Nigeria,"[""Digital Transformation""]",CONSULTING,1500000.0,USD,7,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"Federal Ministry of Communications, Innovation and Digital Economy",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=large(1,380,000€)(3.0) | country=Nigeria(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=18.0/13.0 → GO"
12131,43,worldbank,Enhancing Resilience in Kyrgyzstan Project,Kyrgyz Republic,"[""Environment & Climate""]",WORKS,,,0,open,procurement,Invitation for Bids,Request for Bids,Ministry of Emergency Situations,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=0d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12132,44,worldbank,Sierra Leone Land Administration Project,Sierra Leone,"[""Mining & Natural Resources"", ""Construction & Infrastructure""]",GOODS,,,14,open,procurement,Invitation for Bids,Request for Quotations,Ministry of Lands Housing and Country Planning,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Mining & Natural Resources(1.0) | budget=unknown(1.0) | country=Sierra Leone(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12133,45,worldbank,Building Resilient Digital Infrastructure for Growth,Nigeria,"[""Digital Transformation""]",CONSULTING,1500000.0,USD,7,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"Federal Ministry of Communications, Innovation and Digital Economy",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=large(1,380,000€)(3.0) | country=Nigeria(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=18.0/13.0 → GO"
12134,46,worldbank,Enhancing Resilience in Kyrgyzstan Project,Kyrgyz Republic,"[""Environment & Climate""]",WORKS,,,1,open,procurement,Invitation for Bids,Request for Bids,Ministry of Emergency Situations,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12135,47,worldbank,Enhancing Resilience in Kyrgyzstan Project,Kyrgyz Republic,"[""Environment & Climate""]",WORKS,,,1,open,procurement,Invitation for Bids,Request for Bids,Ministry of Emergency Situations,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12136,48,worldbank,Building Resilient Digital Infrastructure for Growth,Nigeria,"[""Digital Transformation""]",CONSULTING,1500000.0,USD,7,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"Federal Ministry of Communications, Innovation and Digital Economy",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=large(1,380,000€)(3.0) | country=Nigeria(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=18.0/13.0 → GO"
12137,49,worldbank,Angola Digital Acceleration Project,Angola,"[""Digital Transformation""]",CONSULTING,,,7,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Institute of Administrative Modernization,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Angola(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=16.0/13.0 → GO
12138,50,worldbank,Competitiveness and Sector Diversification,Suriname,"[""Business Strategy & Performance""]",CONSULTING,,,5,open,procurement,Expression of Interest,Consultant Qualification  Selection,Ministry of Natural Resources,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Business Strategy & Performance(3.0) | budget=unknown(1.0) | country=Suriname(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=5d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12139,51,worldbank,Second Regional Economic Development Project,Kyrgyz Republic,"[""Digital Transformation"", ""Business Strategy & Performance""]",WORKS,,,21,open,procurement,Invitation for Bids,Request for Bids,Community Development and Investment Agency,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=21d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12140,52,worldbank,Building Resilient Digital Infrastructure for Growth,Nigeria,"[""Digital Transformation""]",CONSULTING,1500000.0,USD,7,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"Federal Ministry of Communications, Innovation and Digital Economy",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Digital Transformation(3.0) | budget=large(1,380,000€)(3.0) | country=Nigeria(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=18.0/13.0 → GO"
12141,53,worldbank,BiH Water and Sanitation Services Modernization Project,Bosnia And Herzegovina,"[""Water, Sanitation & Waste""]",CONSULTING,,,7,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"Federal Ministry of Agriculture, Water Management and Forestry",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Bosnia And Herzegovina(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=13.0/13.0 → GO"
12142,54,worldbank,El Salvador Transport and Resilient Infrastructure Project,El Salvador,"[""Transport & Logistics""]",WORKS,,,30,open,procurement,Invitation for Bids,Request for Bids,Ministry of Public Works and Transport,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Transport & Logistics(1.0) | budget=unknown(1.0) | country=El Salvador(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=30d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
