id,portal,title,status,tokens,error,scope_summary,project_program,financing_instrument,bid_process_type,contract_duration_months,eligibility_summary,specific_areas,submission_process
2635,worldbank,Support to Resilient and Sustainable Social Protection in Jordan,ok,1754,,"The consulting services involve hiring individual consultants for the Support to Resilient and Sustainable Social Protection Program in Jordan. The services include roles such as ISU Manager and Senior Officers for various initiatives. Consultants are required to demonstrate relevant qualifications and experience as outlined in the Terms of Reference. The program is financed by the World Bank, and consultants must not be current government officials. The selection will follow the Open Competitive Selection method as per World Bank regulations.",Support to Resilient and Sustainable Social Protection Program in Jordan,loan,eoi_only,,"• Must be an individual consultant
• Relevant qualifications and experience required
• Not currently a government official","{""tags"": [], ""lots"": null}",Expressions of Interest and CVs must be submitted via email before 6 May 2026 at 11:59 PM. The email subject line should clearly indicate the consulting service title and reference number.
2604,worldbank,Cameroon-Chad Transport Corridor,ok,2108,,"Le marché concerne la conception, le développement et la mise en place d'un système d'information national de données sur les accidents de la route (SINDAR) au Cameroun. Cela inclut la création d'une infrastructure serveur central cloud hybride à haute disponibilité. Le projet vise à améliorer la performance du Corridor rail/route Douala-N'djaména. Les candidats doivent soumettre leurs propositions en respectant les délais et les formats spécifiés. Le bénéficiaire est le Gouvernement du Cameroun.",Projet régional pour l'amélioration de la performance du Corridor rail/route Douala-N'djaména,loan,eoi_only,,"• Candidats éligibles uniquement
• Soumission en quatre exemplaires
• Dossier d'acquisition requis
• Soumission électronique autorisée","{""tags"": [""transport""], ""lots"": null}","Les candidatures doivent être soumises en quatre exemplaires, dont un original et trois copies, accompagnées d'une version scannée sur clé USB. Les soumissions peuvent également être faites par voie électronique sur le site COLEPS. Les candidatures doivent être soumises avant 14 heures, heure locale, le 06 mai 2026."
106,worldbank,Madagascar National Water Project,ok,1951,,Travaux de construction/réhabilitation de 14 écoles et formations sanitaires dans le district de Manakara. Le projet vise à améliorer l'accès à l'eau potable à Madagascar. Les soumissionnaires doivent respecter les normes définies par la Banque Mondiale. Les offres doivent être soumises en format physique uniquement. Le client est le Projet d'Amélioration de l'Accès à l'Eau Potable UGP – MEAH.,Projet d'Amélioration de l'Accès à l'Eau Potable de Madagascar — IDA-71210,loan,single_envelope,,"• Soumissionnaires de pays éligibles selon le règlement
• Garantie d'offre requise
• Déclaration sur l'Exploitation et les Abus Sexuels (EAS) requise
• Soumission physique uniquement","{""tags"": [""water_sanitation""], ""lots"": null}",Les offres doivent être soumises en format physique à l'adresse indiquée au plus tard le 06 Mai 2026 à 10 heures (heure locale). La soumission électronique n'est pas autorisée. Les offres seront ouvertes en présence des représentants des soumissionnaires.
2637,worldbank,DRC Digital Transformation Project,ok,2527,,"Le projet concerne le recrutement d'un(e) Spécialiste en Passation des Marchés pour l'Unité de Gestion du Projet de Transformation Numérique (PTN). Le spécialiste assistera le Responsable de Passation des Marchés dans la mise en œuvre des activités d'acquisition de biens et services, y compris la préparation et la mise à jour du plan de passation des marchés. Les tâches incluent la préparation des Dossiers d'Appels d'Offres, la publication des avis d'appel d'offres, et le contrôle des échanges d'informations avec les soumissionnaires. Le démarrage de la mission est prévu pour juillet 2026, pour une durée de 12 mois renouvelable. Le bénéficiaire est l'Unité de Gestion de Projet (UGP) PTN.",PROJET DE TRANSFORMATION NUMERIQUE (PTN) — P180496,loan,eoi_only,12,"• Diplôme BAC+5 en droit, économie, ingénierie, gestion ou équivalent
• Minimum 7 ans d'expérience professionnelle
• 5 ans d'expérience en passation des marchés
• Bonne moralité
• Capacité organisationnelle et proactivité
• Aptitude à travailler en équipe
• Capacité d'analyse et de synthèse","{""tags"": null, ""lots"": null}","Les candidats doivent soumettre un CV détaillé, une lettre de motivation de 2 pages maximum, et d'autres attestations pertinentes. Les soumissions doivent être faites en format électronique. Les candidats doivent démontrer leurs qualifications et expériences pertinentes pour le poste."
2641,worldbank,Primary Education Quality Improvement Project,ok,2570,,"La présente demande de cotations concerne la construction de l'École Primaire (EP) YIKARWA, située dans le village LEKA BASONGO, Territoire ILEBO, Province éducationnelle Kasaï 2. Les travaux incluent la construction de bâtiments scolaires et d'ouvrages associés, conformément aux spécifications techniques et aux plans fournis. Le délai maximum d'exécution des travaux est de six mois. Le maître d'ouvrage est le Ministère de l'Éducation nationale et Nouvelle Citoyenneté (MINEDU-NC). Les offres doivent être soumises en langue française et respecter les exigences de la demande de cotations.",Projet d'Amélioration de la Qualité de l'Enseignement Primaire (PEQIP) - Don No TF0C3496 - ZR,grant,single_envelope,6,"• Documents administratifs et fiscaux requis
• Personnel clé qualifié
• Expérience dans 2 marchés similaires
• Capacité financière d'au moins 30 000 USD","{""tags"": [""education""], ""lots"": null}","Les offres doivent être rédigées en langue française, présentées en un (1) original et quatre (4) copies, et déposées à l'adresse indiquée au plus tard le 06 mai 2026 à 11h00, heure locale de Kinshasa. La soumission électronique n'est pas autorisée."
2313,worldbank,"Accelerating Project preparation with CAIXA for electromobility, digital, and sustainable housing de",ok,2550,,"A CAIXA Econômica Federal busca contratar um consultor(a) individual para elaborar e implementar um projeto piloto de crédito de carbono para ônibus elétricos. Os serviços incluem assessoramento jurídico especializado, análise do marco legal e regulatório, estruturação jurídica do projeto, elaboração e revisão de instrumentos legais, e apoio à definição da governança. O projeto visa a mitigação de riscos legais e a capacitação técnica das equipes da CAIXA. Os trabalhos devem ser realizados em um prazo de 06 meses.",Acordo de Doação (GFPP) n.º TF-C8915-BR (P181962),grant,eoi_only,6,"• Nível superior em Direito, registro na OAB
• Fluência em português
• Experiência em direito ambiental e regulatório
• Elaboração de pareceres jurídicos
• Experiência em mobilidade urbana
• Articulação com órgãos públicos
• Desejável conhecimento em sustentabilidade","{""tags"": [""environment_social"", ""governance""], ""lots"": null}",Os consultores(as) interessados(as) devem enviar seus currículos e documentos que comprovem suas qualificações. A submissão deve ser feita em português e pode incluir folhetos e descrições de serviços semelhantes executados. Não há menção a limites de páginas ou documentos.
2226,worldbank,Türkiye Earthquake Recovery and Reconstruction Project,ok,2757,,"Adıyaman ilinde depreme dirençli konutların inşası için ihale açılmaktadır. Proje, Türkiye Cumhuriyeti Çevre, Şehircilik ve İklim Değişikliği Bakanlığı tarafından yürütülmektedir. İhale, Dünya Bankası'nın satın alma esasları doğrultusunda ulusal rekabetçi ihale yöntemiyle gerçekleştirilecektir. İlgili alanlarda toplam 120 adet kırsal konut inşa edilecektir. Tekliflerin en geç 6 Mayıs 2026 tarihinde teslim edilmesi gerekmektedir.",Kırsal Alanlarda Deprem İyileştirme ve Yeniden Yapım Projesi (KADİYAP) – Ek Finansman (Kredi No: IBRD 9802-TR / COFN-C2590),loan,single_envelope,12,"• Uluslararası finans kaynaklı projelerde deneyim
• Benzer projelerde referans
• Geçici teminat sunma zorunluluğu","{""tags"": [""governance""], ""lots"": null}",Tekliflerin fiziksel olarak teslim edilmesi gerekmektedir. Teklifler Türkçe olarak hazırlanmalı ve en geç 6 Mayıs 2026 tarihinde saat 15:00'e kadar teslim edilmelidir. Elektronik teklifler kabul edilmeyecektir.
2412,worldbank,Climate Resilient and Sustainable Agriculture Project,ok,2125,,"The consulting services involve selecting 6 qualified individual consultants to assist farmers across Belize in developing Climate Smart Agriculture (CSA) applications for submission to Participating Financial Institutions (PFIs). The consultants will work in three regions: Northern, Central, and Southern. They are expected to coordinate with the Matching Grant Coordinator and the Environmental and Social Specialist of the Belize Social Investment Fund (BSIF) Project Implementation Unit. Familiarity with the local geographic area and effective communication in local languages are essential for inclusive service delivery. The project is implemented by the BSIF under the Ministry of Agriculture, Food Security and New Growth Industries.",Climate Resilient and Sustainable Agriculture Project (CRESAP) — P172592 (Loan No.: 9347 BE),loan,eoi_only,,"• Minimum Associate Degree in relevant fields
• At least 2 years of relevant experience in agriculture sector
• Experience in developing investment proposals and business plans
• Knowledge of Climate Change and Climate Smart Agriculture practices in Belize
• Familiarity with local commodities and sub-sectors","{""tags"": [""agriculture""], ""lots"": null}","Expressions of interest must be delivered in written form (in person, by mail, or by e-mail) to the Belize Social Investment Fund by May 6, 2026, at 13:00 hours Belize Time."
310,worldbank,Tajikistan Preparedness and Resilience to Disasters Project,ok,2135,,"The procurement involves the purchasing and installation of ICT equipment for three Regional Crisis Management Centers located in the cities of Khujand, Khorog, and Bokhtar. The project aims to enhance disaster preparedness and resilience in Tajikistan. Bidders are required to supply the necessary ICT equipment as specified in the bidding documents. The procurement is part of the Tajikistan Preparedness and Resilience to Disasters Project funded by the World Bank. Bids must comply with the World Bank's procurement regulations.",Tajikistan Preparedness and Resilience to Disasters Project — IDA D9780-TJ,grant,two_envelope,,"• Open to all eligible Bidders as defined in the Procurement Regulations
• Must submit a written application to obtain bidding documents
• Bid Security of 54,000 USD required","{""tags"": [""governance""], ""lots"": null}","Bids must be delivered physically to the specified address on or before May 06, 2026, at 15:00 (Dushanbe time). Electronic bidding is not permitted. Bids should be submitted in sealed envelopes marked accordingly, and late bids will be rejected."
2387,worldbank,Punjab Urban Land Systems Enhancement Project,ok,1908,,"The contract involves the procurement of digitization services for state land under the C&W Department, along with survey activities as part of the Punjab Urban Land Systems Enhancement (PULSE) Project. The main tasks include digitizing land records and conducting necessary surveys. The project is located in Punjab, Pakistan. Bidders must comply with the World Bank's procurement regulations. The beneficiary of this project is the Project Management Unit-Board of Revenue.",Punjab Urban Land Systems Enhancement (PULSE) Project — Credit No. 7041-PK,loan,single_envelope,,"• Open to all eligible Bidders
• Must comply with World Bank procurement regulations
• Bid Security of PKR 1,500,000 required","{""tags"": [], ""lots"": null}","Bids must be delivered physically to the specified address on or before 11:00 AM May 6, 2026. Electronic bidding is not permitted. Late bids will be rejected, and bids will be publicly opened immediately after the submission deadline."
2451,worldbank,Vanuatu Climate Resilient Transport Project,ok,2315,,"The Republic of Vanuatu is seeking an International Environmental Safeguards Specialist to support the Vanuatu Climate Resilient Transport Project. The consultant will review and monitor the implementation of the project's Environmental Safeguards management system, providing technical advice and support for environmental compliance. Key tasks include reviewing environmental documents, coordinating with the Project Implementation Unit, and ensuring effective reporting on project progress. The consultant will also provide capacity development for MIPU staff and lead the Environmental Safeguards team at the PIU Field office in Santo.",Vanuatu Climate Resilient Transport Project — P167382,loan,eoi_only,,"• Qualified and experienced in environmental safeguards
• Familiarity with World Bank-funded projects
• Ability to provide technical advice and support
• Experience in capacity development
• Practical understanding of Vanuatu's environmental context","{""tags"": [""environment_social""], ""lots"": null}","Interested consultants should submit their expressions of interest in electronic format. The submission must include relevant qualifications and experience. Joint ventures or associations are permitted, and submissions should be made in English."
2360,worldbank,Digital and Energy Connectivity for Inclusion in Madagascar Project,ok,2058,,Cette Demande de Cotations concerne la fourniture de matériels et de services connexes nécessaires pour répondre à une situation d'urgence. Les fournisseurs doivent soumettre des cotations pour les fournitures et services décrits dans la demande de cotation. La passation du marché sera effectuée selon des procédures accélérées d'urgence. Les soumissionnaires doivent respecter les exigences du Règlement de Passation des Marchés de la Banque mondiale. Le client est l'Unité de Coordination du Projet DECIM.,PROJET DIGITAL AND ENERGY CONNECTIVITY FOR INCLUSION IN MADAGASCAR (DECIM) - N° 006-DCO/2026/DECIM,,single_envelope,,,"{""tags"": [""digital"", ""energy""], ""lots"": null}","Les cotations doivent être soumises par courrier physique sous enveloppe fermée. Le soumissionnaire préparera un original des documents et une copie, ainsi qu'une clé USB pour la version numérique. La soumission par voie électronique n'est pas acceptable."
2463,worldbank,Project Preparation; Caribbean Water Security and Sector Efficiency Regional Program (MPA),ok,2397,,"The consulting services include developing bidding documents, terms of reference, technical specifications, and other supporting documents for the ICT upgrade of the National Water Commission (NWC) in Jamaica. This upgrade is essential for NWC to launch tender processes to purchase required hardware and software and engage ICT experts for the implementation of upgraded GIS/AMS, FIS, WMS, and EDRMS. The consultancy is expected to ensure cost-effectiveness and efficiency in procurement processes. The assignment is anticipated to start in June 2026 and will last approximately 3 months.",Preparation Grant for the Caribbean Water Security and Sector Efficiency Multi-Phased Approach (MPA) Program — Grant No.: TF0C8913,grant,eoi_only,3,"• Min 12 yrs corporate experience in ICT consulting
• 3 successfully completed FIS projects, 1 for a utility
• 2 GIS projects for water utility operations
• Experience with international financial institutions
• At least 3 yrs experience in SIDS, Caribbean countries
• Skilled experts with advanced degrees available
• Ability to mobilize immediately after contract signature","{""tags"": [""water_sanitation"", ""digital""], ""lots"": null}","Expressions of Interest (EoI) must be uploaded as PDF Files to https://caribbeanclimate.bonfirehub.com/ on or before 2:00 p.m. (GMT-6) Wednesday May 6, 2026. Consultants may associate with other firms but must indicate if it is a joint venture or sub-consultancy."
2296,worldbank,Statistical Innovation and Capacity Building in Tonga,ok,1655,,"The Tonga Department of Statistics is seeking quotations for the supply and installation of a Heavy-Duty Printer. The printer must be delivered to the specified address in Tonga. Delivery should be completed within 1 month from the date of contract signature, although this timeline can be negotiated. Bidders must provide a complete set of RFQ documents in English. The client is the Tonga Department of Statistics.",Statistical Innovation and Capacity Building in Tonga — IDA543-TO,grant,single_envelope,1,"• Eligible bidders must submit a written application
• Quotations must include specific forms and documents
• Delivery must be completed within 1 month","{""tags"": [], ""lots"": null}",Quotations must be delivered by email before 03:00pm (Tongan Time) on 6th May 2026. Late quotations may be rejected. Bidders must fill in and sign specific documents for their RFQ to be considered.
2288,worldbank,Water Supply and Sanitation Access Program (PASEA) Project,ok,2604,,"Le consultant (firme) sera chargé de réaliser des études de faisabilité, des études hydrogéologiques, des études d'Avant-Projet Sommaire (APS), d'Avant-Projet Détaillé (APD) et d'élaborer des Dossiers d'Appel d'Offres (DAO) pour des ouvrages de forage et des systèmes d'alimentation en eau potable (AEP) dans les écoles et centres de santé des provinces du Kongo Central et de Lomami. Les études incluront la classification des sites prioritaires pour les infrastructures d'AEP et les ouvrages d'eau, hygiène et assainissement (EHA). Le consultant devra également évaluer les impacts environnementaux et sociaux des projets. Les travaux doivent respecter des normes de durabilité et de qualité de l'eau, tout en minimisant les coûts de traitement et de pompage.",PASEA — N° 135/ZR-CEP-O-501873-CS-QCBS,,eoi_only,,"• Min 10 ans d'expérience générale
• 2 références d'études APS, APD et DAO pour AEP
• 2 références d'études hydrogéologiques
• 2 références d'études de dimensionnement photovoltaïques
• 1 référence d'études APD pour ouvrages EHA","{""tags"": [""water_sanitation""], ""lots"": null}","Les candidats intéressés doivent soumettre leur candidature en fournissant des informations sur leur capacité et expérience. Les soumissions doivent être faites en format électronique, et les Termes de Référence sont disponibles sur le site web indiqué."
2650,worldbank,Support to Resilient and Sustainable Social Protection in Jordan,ok,1753,,"The consulting services involve hiring qualified individual consultants for the Support to Resilient and Sustainable Social Protection Program in Jordan. The services include roles such as NSPS Implementation Support Unit Manager and Senior Officers for various initiatives. Consultants are required to demonstrate relevant experience and qualifications as outlined in the Terms of Reference. The program is financed by the World Bank, and consultants must not be current government officials. The selection will follow the Open Competitive Selection method.",Support to Resilient and Sustainable Social Protection Program in Jordan,loan,eoi_only,,"• Must be an individual consultant
• Relevant qualifications and experience required
• Not currently a government official","{""tags"": [], ""lots"": null}",Expressions of Interest and CVs must be submitted via email before 6 May 2026 at 11:59 PM. The email subject line must clearly indicate the consulting service title and reference number.
3682,worldbank,Tanzania Scaling-up Sustainable Marine Fisheries and Aquaculture Management Project (TASFAM),ok,2358,,"Conduct a Strategic Environmental and Social Assessment (SESA) for the Marine Spatial Planning (MSP) for the use of marine space. The services include assessing environmental and social impacts, proposing mitigation measures, and ensuring inclusive benefits. The assessment aims to identify potential risks and opportunities to support sustainable marine governance. It will also ensure compliance with national and international standards. The beneficiary of this consultancy is the Ministry of Livestock and Fisheries - TASFAM.",Marine Fisheries Spatial Planning (MFSP) - TZ-MLF-528917-CS-QCBS,loan,eoi_only,3,"• Relevant qualifications and experience
• Similar assignments completed
• Appropriate skills among staff
• Joint ventures or sub-consultancies allowed","{""tags"": [""environment_social""], ""lots"": null}",Expressions of Interest (EoI) must be delivered through the National e-Procurement system (NeST) before the deadline indicated on NeST. Submissions should include a consultant's profile and descriptions of similar assignments.
272,worldbank,Sierra Leone Digital Transformation Project,ok,2004,,"The contract involves the supply, installation, implementation, and support of the Government Wide Area Network (GWAN) and Government Local Area Networks (GLAN) for Ministries, Departments, and Agencies (MDAs) in Sierra Leone. Key tasks include ensuring connectivity and support for various government entities. The project is geographically focused on Sierra Leone. Proposals must be submitted in English and adhere to the World Bank's procurement regulations. The beneficiary of this project is the Ministry of Communication, Technology, and Innovation.",Sierra Leone Digital Transformation Project — P177077,loan,single_envelope,12,"• Open to all eligible Proposers
• Must comply with World Bank procurement regulations
• Proposal Security of US$ 200,000 required","{""tags"": [""digital""], ""lots"": null}","Proposals must be delivered physically to the specified address by 1400 hours GMT on 6th May 2026. Electronic submissions are not permitted. The outer envelopes should be marked 'ORIGINAL PROPOSAL', and the inner envelopes should be marked 'TECHNICAL PART'. Late proposals will be rejected."
2239,worldbank,"Bulsho: Strengthening Community and Local Institutions for Social Cohesion, Inclusion, and Resilienc",ok,2296,,"The Bulsho Project aims to strengthen community institutions for social cohesion, inclusion, and resilience in South West State of Somalia. The project seeks to recruit a Public Financial Management (PFM) Specialist to support the Project Implementation Unit (PIU). Key tasks include verifying district eligibility, preparing procurement plans, managing contracts, and delivering capacity-building activities. The PFM Specialist will also prepare financial reports and ensure compliance with government and World Bank procedures. The project is focused on enhancing service delivery and promoting community-centered governance.","Bulsho Project - Strengthening Community Institutions for Social Cohesion, Inclusion and Resilience — P508408",,eoi_only,,"• Relevant experience in Public Financial Management
• Proven track record in similar projects
• Knowledge of Somalia Government and World Bank procedures
• Capacity building experience
• Ability to prepare financial reports","{""tags"": [""governance""], ""lots"": null}","Interested consultants should submit their expressions of interest electronically. The submission must be in English and include relevant qualifications and experience. This process is for individual selection, and further details may follow in subsequent stages."
2279,worldbank,Primary Education Improvement Project,ok,2304,,The consulting services include design and delivery of a teacher training program on evidence-based reading instruction. The objective is to implement a compulsory modular teacher training program that promotes an evidence-based science-of-reading approach and builds sustainable national trainer capacity. The program aims to strengthen teachers' capacity to deliver coherent reading instruction and integrate formative assessment to improve student reading proficiency. The expected implementation period is from September 2026 to January 2028. The beneficiary is the Ministry of Education and Science of the Republic of North Macedonia.,Primary Education Improvement Project — Loan No.: 9845-MK,loan,eoi_only,16,"• Legally registered for at least 5 years
• Minimum average annual turnover of EUR 500,000 in the past three years
• Not subject to bankruptcy or insolvency proceedings
• At least 5 years of experience in teacher professional development programs
• Experience producing training materials for teacher training
• Prior work with education government bodies
• Experience in multilingual or multicultural educational environments","{""tags"": [""education""], ""lots"": null}",Expressions of interest must be delivered in written form in English or Macedonian by e-mail. Firms will receive an acknowledgment of receipt within 3 days after submission.
